filename,latitude,longitude
IMG_001.jpg,33.796920,35.538603
IMG_002.jpg,33.799132,35.550512
IMG_003.jpg,33.799057,35.550702
IMG_004.jpg,33.799348,35.552665
IMG_005.jpg,33.799499,35.552742
IMG_006.jpg,33.798114,35.557048
IMG_007.jpg,33.793372,35.561563
IMG_008.jpg,33.749248,35.534878
IMG_009.jpg,33.739770,35.535653
IMG_010.jpg,33.736954,35.528004
IMG_011.jpg,33.819103,35.524933
IMG_012.jpg,33.807500,35.512036
IMG_013.jpg,33.692315,35.642861
IMG_014.jpg,33.690899,35.637213
IMG_015.jpg,33.689670,35.636681
IMG_016.jpg,33.673254,35.593604
IMG_017.jpg,33.673224,35.593595
IMG_018.jpg,33.678178,35.589861
IMG_019.jpg,33.693704,35.580055
IMG_020.jpg,33.693863,35.580218
IMG_021.jpg,33.696495,35.623773
IMG_022.jpg,33.820901,35.526780
IMG_023.jpg,33.820912,35.526743
IMG_024.jpg,33.821069,35.526850
IMG_025.jpg,33.822031,35.527272
IMG_026.jpg,33.820422,35.526514
IMG_027.jpg,33.821056,35.526797
IMG_028.jpg,33.875093,35.532002
IMG_029.jpg,33.875525,35.531165
IMG_030.jpg,33.875467,35.530779
IMG_031.jpg,33.879809,35.533397
IMG_032.jpg,33.879809,35.533397
IMG_033.jpg,33.879809,35.533397
IMG_034.jpg,33.803887,35.527675
IMG_035.jpg,33.804950,35.527394
IMG_036.jpg,33.804872,35.527419
IMG_037.jpg,33.804751,35.527473
IMG_038.jpg,33.805785,35.527354
IMG_039.jpg,33.805846,35.527335
IMG_040.jpg,33.805666,35.527360
IMG_041.jpg,33.809802,35.522977
IMG_042.jpg,33.809657,35.523066
IMG_043.jpg,33.809525,35.523122
IMG_044.jpg,33.809525,35.523122
IMG_045.jpg,33.809525,35.523122
IMG_046.jpg,33.809265,35.523270
IMG_047.jpg,33.806831,35.522546
IMG_048.jpg,33.788277,35.542089
IMG_049.jpg,33.798988,35.525445
IMG_050.jpg,33.803043,35.518030
